mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,participant,date,expName,psychopyVersion,OS,frameRate,condition,stage,scene,correct object,left option,middle option,right option,memory resp,memory rt,accuracy,score,x mouse,y mouse,internal lure,external lure,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trials,Picture_Recognition,Picture_Recognition_2,Q1_l,Q1_m,Q1_r,Feedback_l,Feedback_m,Feedback_r,internal_lure,external_lure,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name
-0.049074032,-0.285185213,1,0,0,9.7159,text_introduction_button,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/strassenschilder.png,images/objects/ziegelsteine.png,images/objects/stadtfahrrader.png,images/objects/ziegelsteine.png,images/objects/verkehrshutchen.png,images/objects/ziegelsteine.png,2.133,1,1,[-0.0490740316885489],[-0.285185213442202],images/objects/stadtfahrrader.png,images/objects/verkehrshutchen.png,-0.049074032,-0.285185213,1,0,0,2.133,image_middle,0,0,0,10,1,10,images/scenes/strassenschilder.png,images/objects/ziegelsteine.png,images/objects/stadtfahrrader.png,images/objects/ziegelsteine.png,images/objects/verkehrshutchen.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/stadtfahrrader.png,images/objects/verkehrshutchen.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/klassenzimmer.png,images/objects/stifte.png,images/objects/stifte.png,images/objects/schultute.png,images/objects/glocken.png,images/objects/schultute.png,2.1084,0,1,[-0.03148149560998987],[-0.18055555555555555],images/objects/glocken.png,images/objects/schultute.png,-0.031481496,-0.180555556,1,0,0,2.1084,image_middle,0,1,1,54,1,54,images/scenes/klassenzimmer.png,images/objects/stifte.png,images/objects/stifte.png,images/objects/schultute.png,images/objects/glocken.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/glocken.png,images/objects/schultute.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/berge_mit_schnee.png,images/objects/schneemobil.png,images/objects/verschneiter_tannenbaum.png,images/objects/ski.png,images/objects/schneemobil.png,images/objects/verschneiter_tannenbaum.png,2.2998,0,1,[-0.6018518518518519],[-0.29537038449887876],images/objects/ski.png,images/objects/verschneiter_tannenbaum.png,-0.601851852,-0.295370384,1,0,0,2.2998,image_left,0,2,2,15,1,15,images/scenes/berge_mit_schnee.png,images/objects/schneemobil.png,images/objects/verschneiter_tannenbaum.png,images/objects/ski.png,images/objects/schneemobil.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/ski.png,images/objects/verschneiter_tannenbaum.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/arbeitszimmer.png,images/objects/leselampe.png,images/objects/bonsai.png,images/objects/leselampe.png,images/objects/usb_stick.png,images/objects/usb_stick.png,2.7171,0,1,[0.5888889454029225],[-0.24444445857295283],images/objects/bonsai.png,images/objects/usb_stick.png,0.588888945,-0.244444459,1,0,0,2.7171,image_right,0,3,3,5,1,5,images/scenes/arbeitszimmer.png,images/objects/leselampe.png,images/objects/bonsai.png,images/objects/leselampe.png,images/objects/usb_stick.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/bonsai.png,images/objects/usb_stick.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/sauna.png,images/objects/handtuch.png,images/objects/fon.png,images/objects/duschgel.png,images/objects/handtuch.png,images/objects/duschgel.png,1.5904,0,1,[0.07777779190628617],[-0.21944448682996961],images/objects/fon.png,images/objects/duschgel.png,0.077777792,-0.219444487,1,0,0,1.5904,image_middle,0,4,4,58,1,58,images/scenes/sauna.png,images/objects/handtuch.png,images/objects/fon.png,images/objects/duschgel.png,images/objects/handtuch.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/fon.png,images/objects/duschgel.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/burg.png,images/objects/kutsche.png,images/objects/kronleuchter.png,images/objects/bauhelm.png,images/objects/kutsche.png,images/objects/kronleuchter.png,3.2821,0,1,[-0.44074072661223235],[-0.2537037178322121],images/objects/bauhelm.png,images/objects/kronleuchter.png,-0.440740727,-0.253703718,1,0,0,3.2821,image_left,0,5,5,24,1,24,images/scenes/burg.png,images/objects/kutsche.png,images/objects/kronleuchter.png,images/objects/bauhelm.png,images/objects/kutsche.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/bauhelm.png,images/objects/kronleuchter.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/wolken_von_oben.png,images/objects/riesenradgondel.png,images/objects/riesenradgondel.png,images/objects/heissluftballon.png,images/objects/reisetasche.png,images/objects/riesenradgondel.png,4.1653,1,2,[-0.49351851145426434],[-0.16851856090404368],images/objects/reisetasche.png,images/objects/heissluftballon.png,-0.493518511,-0.168518561,1,0,0,4.1653,image_left,0,6,6,18,1,18,images/scenes/wolken_von_oben.png,images/objects/riesenradgondel.png,images/objects/riesenradgondel.png,images/objects/heissluftballon.png,images/objects/reisetasche.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/reisetasche.png,images/objects/heissluftballon.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/garten.png,images/objects/marmorskulptur.png,images/objects/marmorskulptur.png,images/objects/fussball.png,images/objects/blumenzwiebeln.png,images/objects/blumenzwiebeln.png,2.2089,0,2,[0.5379630194769965],[-0.2222222222222222],images/objects/fussball.png,images/objects/blumenzwiebeln.png,0.537963019,-0.222222222,1,0,0,2.2089,image_right,0,7,7,31,1,31,images/scenes/garten.png,images/objects/marmorskulptur.png,images/objects/marmorskulptur.png,images/objects/fussball.png,images/objects/blumenzwiebeln.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/fussball.png,images/objects/blumenzwiebeln.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/parkhaus.png,images/objects/gabelstapler.png,images/objects/satellit.png,images/objects/schranke.png,images/objects/gabelstapler.png,images/objects/schranke.png,1.8002,0,2,[0.2009259683114511],[-0.2138888747603805],images/objects/satellit.png,images/objects/schranke.png,0.200925968,-0.213888875,1,0,0,1.8002,image_middle,0,8,8,20,1,20,images/scenes/parkhaus.png,images/objects/gabelstapler.png,images/objects/satellit.png,images/objects/schranke.png,images/objects/gabelstapler.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/satellit.png,images/objects/schranke.png,,,,,,,
